X	Y	ID
399	1203	Gene5
980	1481	Gene5
897	1455	Gene5
358	1109	Gene5
642	873	Gene5
551	933	Gene5
273	1147	Gene5
358	1223	Gene5
1940	164	Gene5
943	1440	Gene5
929	1430	Gene5
50	1391	Gene5
406	1188	Gene5
1004	1355	Gene5
60	1388	Gene5
562	892	Gene5
965	1358	Gene5
950	1386	Gene5
662	918	Gene5
993	1477	Gene5
722	941	Gene5
864	2245	Gene5
1036	1434	Gene5
677	913	Gene5
681	905	Gene5
907	2263	Gene5
896	1435	Gene5
902	1421	Gene5
150	1431	Gene5
653	2467	Gene5
660	2432	Gene5
390	1158	Gene5
665	901	Gene5
903	2174	Gene5
997	1366	Gene5
132	1414	Gene5
906	1445	Gene5
93	1377	Gene5
374	1144	Gene5
135	1395	Gene5
1739	1625	Gene5
336	1190	Gene5
1746	1602	Gene5
367	1188	Gene5
980	1429	Gene5
1015	1436	Gene5
1014	1393	Gene5
632	913	Gene5
910	2187	Gene5
118	1423	Gene5
1021	1449	Gene5
282	1175	Gene5
965	1358	Gene5
150	1417	Gene5
933	2160	Gene5
886	2224	Gene5
614	935	Gene5
910	2245	Gene5
949	1439	Gene5
638	917	Gene5
623	2502	Gene5
893	2199	Gene5
1037	1434	Gene5
902	2224	Gene5
929	2179	Gene5
909	2200	Gene5
949	2190	Gene5
951	2194	Gene5
615	2477	Gene5
576	2510	Gene5
964	1418	Gene5
321	1188	Gene5
609	2441	Gene5
362	1156	Gene5
712	940	Gene5
377	1178	Gene5
82	1376	Gene5
300	1131	Gene5
408	1196	Gene5
634	2428	Gene5
544	903	Gene5
176	1464	Gene5
642	2431	Gene5
940	2229	Gene5
1957	144	Gene5
91	1330	Gene5
1043	1368	Gene5
425	1158	Gene5
2118	227	Gene5
609	2455	Gene5
343	1094	Gene5
1973	273	Gene5
561	2504	Gene5
99	1325	Gene5
94	1334	Gene5
1027	1372	Gene5
653	981	Gene5
604	869	Gene5
73	1445	Gene5
1948	228	Gene5
878	2257	Gene5
1049	1393	Gene5
383	1117	Gene5
1022	1402	Gene5
1054	1444	Gene5
725	913	Gene5
167	1459	Gene5
755	930	Gene5
286	1154	Gene5
881	2244	Gene5
386	1192	Gene5
336	1140	Gene5
49	1381	Gene5
1020	1365	Gene5
350	1182	Gene5
628	926	Gene5
898	2196	Gene5
675	920	Gene5
624	911	Gene5
263	1164	Gene5
1731	1620	Gene5
104	1437	Gene5
1005	1402	Gene5
1014	1419	Gene5
920	2200	Gene5
335	1136	Gene5
283	1144	Gene5
701	932	Gene5
728	921	Gene5
50	1380	Gene5
965	2206	Gene5
933	1399	Gene5
1712	1592	Gene5
66	1390	Gene5
1955	158	Gene5
1993	134	Gene5
311	1164	Gene5
114	1435	Gene5
117	1390	Gene5
268	1125	Gene5
570	952	Gene5
2085	218	Gene5
632	942	Gene5
756	910	Gene5
2052	178	Gene5
2078	264	Gene5
2043	189	Gene5
2103	240	Gene5
948	1429	Gene5
1918	143	Gene5
193	1439	Gene5
68	1385	Gene5
932	1399	Gene5
88	1434	Gene5
1708	1588	Gene5
629	917	Gene5
119	1476	Gene5
1923	146	Gene5
1002	1396	Gene5
660	976	Gene5
1872	186	Gene5
705	930	Gene5
1013	1410	Gene5
571	2478	Gene5
1016	1362	Gene5
320	1106	Gene5
573	2513	Gene5
991	1455	Gene5
1072	1395	Gene5
61	1350	Gene5
313	1129	Gene5
653	2462	Gene5
1984	258	Gene5
1907	215	Gene5
2060	299	Gene5
986	1396	Gene5
266	1169	Gene5
1075	1406	Gene5
1045	1383	Gene5
746	905	Gene5
620	2426	Gene5
265	1117	Gene5
924	1461	Gene5
126	1450	Gene5
585	2526	Gene5
687	956	Gene5
627	858	Gene5
648	2454	Gene5
924	1354	Gene5
921	1379	Gene5
696	943	Gene5
1867	175	Gene5
1896	166	Gene5
1052	1381	Gene5
1732	1626	Gene5
674	2439	Gene5
103	1465	Gene5
705	959	Gene5
90	1464	Gene5
1980	244	Gene5
1990	233	Gene5
1966	227	Gene5
97	1463	Gene5
670	862	Gene5
979	1356	Gene5
889	1407	Gene5
533	937	Gene5
349	1224	Gene5
1878	164	Gene5
573	968	Gene5
2009	138	Gene5
1917	192	Gene5
1984	265	Gene5
1991	268	Gene5
941	2228	Gene5
125	1437	Gene5
863	2236	Gene5
597	2451	Gene5
721	899	Gene5
603	2455	Gene5
1078	1407	Gene5
1058	1391	Gene5
733	885	Gene5
1858	171	Gene5
912	2163	Gene5
569	2463	Gene5
1043	1367	Gene5
176	1462	Gene5
560	896	Gene5
1000	1455	Gene5
1023	1345	Gene5
82	1334	Gene5
537	883	Gene5
562	904	Gene5
39	1431	Gene5
662	857	Gene5
979	1331	Gene5
1877	169	Gene5
859	2239	Gene5
545	901	Gene5
959	1502	Gene5
945	1491	Gene5
1892	167	Gene5
360	1226	Gene5
523	877	Gene5
625	991	Gene5
916	2188	Gene5
955	1393	Gene5
140	1341	Gene5
704	876	Gene5
951	1347	Gene5
63	1339	Gene5
1066	1389	Gene5
972	1493	Gene5
1931	190	Gene5
1885	172	Gene5
1944	202	Gene5
550	890	Gene5
401	1133	Gene5
80	1484	Gene5
2043	246	Gene5
559	2491	Gene5
1047	1376	Gene5
620	2425	Gene5
662	2433	Gene5
33	1414	Gene5
572	892	Gene5
421	1185	Gene5
617	2520	Gene5
715	973	Gene5
679	987	Gene5
1997	228	Gene5
645	2441	Gene5
860	2251	Gene5
726	943	Gene5
332	1171	Gene5
613	2455	Gene5
645	925	Gene5
900	2195	Gene5
1007	1356	Gene5
575	2449	Gene5
661	860	Gene5
1953	120	Gene5
410	1203	Gene5
850	2242	Gene5
281	1188	Gene5
527	922	Gene5
1055	1410	Gene5
911	1471	Gene5
2053	182	Gene5
722	936	Gene5
397	1161	Gene5
620	869	Gene5
54	1386	Gene5
93	1444	Gene5
549	909	Gene5
399	1203	Gene5
980	1481	Gene5
897	1455	Gene5
358	1109	Gene5
642	873	Gene5
551	933	Gene5
273	1147	Gene5
358	1223	Gene5
1940	164	Gene5
943	1440	Gene5
929	1430	Gene5
50	1391	Gene5
406	1188	Gene5
1004	1355	Gene5
60	1388	Gene5
562	892	Gene5
965	1358	Gene5
950	1386	Gene5
662	918	Gene5
993	1477	Gene5
722	941	Gene5
864	2245	Gene5
1036	1434	Gene5
677	913	Gene5
681	905	Gene5
907	2263	Gene5
896	1435	Gene5
902	1421	Gene5
150	1431	Gene5
653	2467	Gene5
660	2432	Gene5
390	1158	Gene5
665	901	Gene5
903	2174	Gene5
997	1366	Gene5
132	1414	Gene5
906	1445	Gene5
93	1377	Gene5
374	1144	Gene5
135	1395	Gene5
1739	1625	Gene5
336	1190	Gene5
1746	1602	Gene5
367	1188	Gene5
980	1429	Gene5
1015	1436	Gene5
1014	1393	Gene5
632	913	Gene5
910	2187	Gene5
118	1423	Gene5
1021	1449	Gene5
282	1175	Gene5
965	1358	Gene5
150	1417	Gene5
933	2160	Gene5
886	2224	Gene5
614	935	Gene5
910	2245	Gene5
949	1439	Gene5
638	917	Gene5
623	2502	Gene5
893	2199	Gene5
1037	1434	Gene5
902	2224	Gene5
929	2179	Gene5
909	2200	Gene5
949	2190	Gene5
951	2194	Gene5
615	2477	Gene5
576	2510	Gene5
964	1418	Gene5
321	1188	Gene5
609	2441	Gene5
362	1156	Gene5
712	940	Gene5
377	1178	Gene5
82	1376	Gene5
300	1131	Gene5
408	1196	Gene5
634	2428	Gene5
544	903	Gene5
176	1464	Gene5
642	2431	Gene5
940	2229	Gene5
1957	144	Gene5
91	1330	Gene5
1043	1368	Gene5
425	1158	Gene5
2118	227	Gene5
609	2455	Gene5
343	1094	Gene5
1973	273	Gene5
561	2504	Gene5
99	1325	Gene5
94	1334	Gene5
1027	1372	Gene5
653	981	Gene5
604	869	Gene5
73	1445	Gene5
1948	228	Gene5
878	2257	Gene5
1049	1393	Gene5
383	1117	Gene5
1022	1402	Gene5
1054	1444	Gene5
725	913	Gene5
167	1459	Gene5
755	930	Gene5
286	1154	Gene5
881	2244	Gene5
386	1192	Gene5
336	1140	Gene5
49	1381	Gene5
1020	1365	Gene5
350	1182	Gene5
628	926	Gene5
898	2196	Gene5
675	920	Gene5
624	911	Gene5
263	1164	Gene5
1731	1620	Gene5
104	1437	Gene5
1005	1402	Gene5
1014	1419	Gene5
920	2200	Gene5
335	1136	Gene5
381	1578	Gene1
214	1055	Gene1
524	858	Gene1
681	1537	Gene1
199	1536	Gene1
749	1327	Gene1
1417	1340	Gene1
701	1511	Gene1
1812	110	Gene1
2230	403	Gene1
2103	370	Gene1
273	1069	Gene1
1636	1605	Gene1
570	2531	Gene1
467	1157	Gene1
252	1050	Gene1
273	1524	Gene1
1753	1676	Gene1
291	1420	Gene1
850	1543	Gene1
416	885	Gene1
2034	106	Gene1
2213	323	Gene1
1781	1549	Gene1
205	1493	Gene1
224	1492	Gene1
851	2269	Gene1
856	1527	Gene1
1029	1299	Gene1
176	1294	Gene1
532	1188	Gene1
844	1502	Gene1
439	2586	Gene1
40	1308	Gene1
242	1487	Gene1
867	2297	Gene1
1024	1304	Gene1
2114	146	Gene1
488	1188	Gene1
458	925	Gene1
122	1510	Gene1
1714	1528	Gene1
818	2292	Gene1
467	906	Gene1
826	907	Gene1
1706	1523	Gene1
173	1501	Gene1
216	1444	Gene1
1036	1333	Gene1
1733	1542	Gene1
967	2136	Gene1
1776	1533	Gene1
1755	1572	Gene1
1039	2059	Gene1
1869	117	Gene1
1724	146	Gene1
518	852	Gene1
74	1278	Gene1
1371	1371	Gene1
516	1159	Gene1
2263	345	Gene1
293	1480	Gene1
164	1287	Gene1
520	1295	Gene1
812	1277	Gene1
727	1484	Gene1
808	2285	Gene1
211	1340	Gene1
243	1509	Gene1
826	1481	Gene1
908	1339	Gene1
898	1258	Gene1
134	1104	Gene1
871	1374	Gene1
793	854	Gene1
236	1510	Gene1
532	2563	Gene1
486	1202	Gene1
286	1084	Gene1
788	925	Gene1
213	1146	Gene1
1018	2041	Gene1
186	1122	Gene1
1700	1638	Gene1
1686	1568	Gene1
739	1002	Gene1
940	611	Gene1
1811	134	Gene1
705	1448	Gene1
1435	953	Gene1
1035	1013	Gene1
452	1210	Gene1
494	1145	Gene1
1764	116	Gene1
2097	335	Gene1
2150	304	Gene1
78	1012	Gene1
380	947	Gene1
68	1236	Gene1
336	1491	Gene1
822	944	Gene1
893	1257	Gene1
1208	1406	Gene1
442	1262	Gene1
1930	103	Gene1
793	2317	Gene1
42	1014	Gene1
930	1531	Gene1
497	2596	Gene1
457	1171	Gene1
823	925	Gene1
849	1481	Gene1
1727	1699	Gene1
1827	1497	Gene1
216	1397	Gene1
503	935	Gene1
819	1445	Gene1
783	906	Gene1
410	1265	Gene1
848	1458	Gene1
478	953	Gene1
1140	1348	Gene1
1233	1380	Gene1
17	1057	Gene1
1700	1628	Gene1
1787	145	Gene1
228	1155	Gene1
1877	104	Gene1
462	945	Gene1
845	1514	Gene1
676	2372	Gene1
676	2395	Gene1
859	1420	Gene1
519	2584	Gene1
1051	1335	Gene1
1690	1645	Gene1
1791	1570	Gene1
206	1086	Gene1
882	1475	Gene1
1817	1516	Gene1
1673	1599	Gene1
181	1095	Gene1
155	1085	Gene1
1756	1506	Gene1
1806	1515	Gene1
1699	1560	Gene1
1774	1503	Gene1
14	990	Gene1
392	910	Gene1
209	1101	Gene1
447	939	Gene1
1897	84	Gene1
95	1523	Gene1
1836	149	Gene1
897	2291	Gene1
1931	125	Gene1
346	1449	Gene1
1797	159	Gene1
822	788	Gene1
1210	326	Gene1
697	836	Gene1
121	1300	Gene1
1146	1471	Gene1
1994	91	Gene1
688	1533	Gene1
1751	86	Gene1
1694	1652	Gene1
198	1492	Gene1
746	828	Gene1
795	1481	Gene1
1790	1512	Gene1
1774	1628	Gene1
1017	2064	Gene1
284	1042	Gene1
160	1046	Gene1
694	828	Gene1
929	1517	Gene1
862	845	Gene1
517	1276	Gene1
1667	1578	Gene1
1726	1638	Gene1
30	1384	Gene1
236	1087	Gene1
138	1309	Gene1
996	2066	Gene1
1944	107	Gene1
1790	1522	Gene1
1034	2076	Gene1
126	1066	Gene1
17	1462	Gene1
1799	1507	Gene1
1680	1627	Gene1
219	1421	Gene1
664	835	Gene1
841	2278	Gene1
468	898	Gene1
668	2406	Gene1
1778	1575	Gene1
222	1453	Gene1
1670	1599	Gene1
1703	1629	Gene1
1688	1573	Gene1
1736	1552	Gene1
573	2539	Gene1
1005	2106	Gene1
58	1834	Gene1
323	1057	Gene1
1102	1455	Gene1
416	1535	Gene1
1740	186	Gene1
304	963	Gene1
517	2527	Gene1
822	923	Gene1
730	845	Gene1
537	1215	Gene1
430	1176	Gene1
1085	1374	Gene1
2048	116	Gene1
1094	1396	Gene1
438	1238	Gene1
474	1203	Gene1
238	1067	Gene1
1801	1493	Gene1
447	1204	Gene1
953	2134	Gene1
1770	1582	Gene1
534	2564	Gene1
1751	1533	Gene1
92	1511	Gene1
156	1324	Gene1
21	1025	Gene1
847	736	Gene1
153	1318	Gene1
57	1286	Gene1
744	970	Gene1
184	1505	Gene1
206	1365	Gene1
431	902	Gene1
707	1511	Gene1
850	913	Gene1
1697	794	Gene1
2432	2216	Gene1
508	1206	Gene1
732	980	Gene1
896	827	Gene1
1138	1333	Gene1
1586	1152	Gene1
393	1555	Gene1
2255	370	Gene1
400	965	Gene1
2178	2479	Gene1
999	848	Gene1
186	1081	Gene1
235	1504	Gene1
2163	781	Gene1
2345	1450	Gene1
2142	2333	Gene1
1184	1435	Gene1
2173	271	Gene1
847	2261	Gene1
727	981	Gene1
1675	1623	Gene1
454	1149	Gene1
246	1122	Gene1
436	1175	Gene1
2551	901	Gene1
723	857	Gene1
2159	247	Gene1
67	1318	Gene1
433	1212	Gene1
1112	1424	Gene1
240	1468	Gene1
230	1114	Gene1
971	2129	Gene1
536	2565	Gene1
239	1163	Gene1
859	1415	Gene1
1126	1476	Gene1
955	2121	Gene1
519	2547	Gene1
208	1100	Gene1
1734	1654	Gene1
1884	115	Gene1
1754	1530	Gene1
24	1375	Gene1
222	1131	Gene1
232	1123	Gene1
794	959	Gene1
825	832	Gene1
167	1287	Gene1
1772	1589	Gene1
982	2125	Gene1
1849	152	Gene1
669	2404	Gene1
529	2553	Gene1
519	2529	Gene1
544	2513	Gene1
678	1025	Gene1
171	967	Gene1
545	456	Gene1
227	1675	Gene1
129	1078	Gene1
2583	530	Gene1
2287	450	Gene1
207	987	Gene1
1309	1142	Gene1
1007	958	Gene1
2216	177	Gene1
234	1482	Gene1
842	794	Gene1
2084	524	Gene1
769	876	Gene1
1751	1555	Gene1
2267	1580	Gene1
1209	1323	Gene1
195	1098	Gene1
494	1228	Gene1
2164	261	Gene1
188	1545	Gene1
2196	298	Gene1
1189	1359	Gene1
999	1255	Gene1
1709	1725	Gene1
557	2533	Gene1
1048	1347	Gene1
1753	1629	Gene1
1665	1630	Gene1
848	1540	Gene1
1937	99	Gene1
759	984	Gene1
860	907	Gene1
1718	1631	Gene1
1745	1537	Gene1
143	1513	Gene1
1702	1559	Gene1
800	921	Gene1
1110	1332	Gene1
886	1378	Gene1
825	2268	Gene1
1058	1469	Gene1
1730	1632	Gene1
507	941	Gene1
1729	1548	Gene1
1717	1643	Gene1
208	1134	Gene1
63	1531	Gene1
1806	1518	Gene1
1727	1634	Gene1
989	2144	Gene1
1128	1444	Gene1
240	1134	Gene1
972	2143	Gene1
1783	1566	Gene1
132	1048	Gene1
1110	1399	Gene1
1700	1626	Gene1
565	2547	Gene1
1751	1648	Gene1
1082	1430	Gene1
1836	128	Gene1
346	1563	Gene1
1250	1376	Gene1
234	1159	Gene1
52	1327	Gene1
945	896	Gene1
1052	1480	Gene1
129	1310	Gene1
536	1223	Gene1
406	940	Gene1
319	1439	Gene1
173	1493	Gene1
451	651	Gene1
175	1489	Gene1
144	1085	Gene1
1813	118	Gene1
424	938	Gene1
1146	1358	Gene1
1154	1473	Gene1
618	802	Gene1
936	1322	Gene1
2293	1677	Gene1
2514	1518	Gene1
190	214	Gene1
820	2252	Gene1
186	1015	Gene1
77	1159	Gene1
795	923	Gene1
1155	1494	Gene1
1142	1400	Gene1
92	1005	Gene1
857	2273	Gene1
240	1450	Gene1
1085	1431	Gene1
381	1578	Gene1
214	1055	Gene1
524	858	Gene1
681	1537	Gene1
199	1536	Gene1
749	1327	Gene1
1417	1340	Gene1
701	1511	Gene1
1812	110	Gene1
2230	403	Gene1
2103	370	Gene1
273	1069	Gene1
1636	1605	Gene1
570	2531	Gene1
467	1157	Gene1
252	1050	Gene1
273	1524	Gene1
1753	1676	Gene1
291	1420	Gene1
850	1543	Gene1
416	885	Gene1
2034	106	Gene1
2213	323	Gene1
1781	1549	Gene1
205	1493	Gene1
224	1492	Gene1
851	2269	Gene1
856	1527	Gene1
1029	1299	Gene1
176	1294	Gene1
532	1188	Gene1
844	1502	Gene1
439	2586	Gene1
40	1308	Gene1
242	1487	Gene1
867	2297	Gene1
1024	1304	Gene1
2114	146	Gene1
488	1188	Gene1
458	925	Gene1
122	1510	Gene1
1714	1528	Gene1
818	2292	Gene1
467	906	Gene1
826	907	Gene1
1706	1523	Gene1
173	1501	Gene1
216	1444	Gene1
1036	1333	Gene1
1733	1542	Gene1
967	2136	Gene1
1776	1533	Gene1
1755	1572	Gene1
1039	2059	Gene1
1869	117	Gene1
1724	146	Gene1
518	852	Gene1
74	1278	Gene1
1371	1371	Gene1
516	1159	Gene1
2263	345	Gene1
293	1480	Gene1
164	1287	Gene1
520	1295	Gene1
812	1277	Gene1
727	1484	Gene1
808	2285	Gene1
211	1340	Gene1
243	1509	Gene1
826	1481	Gene1
908	1339	Gene1
898	1258	Gene1
134	1104	Gene1
871	1374	Gene1
793	854	Gene1
236	1510	Gene1
532	2563	Gene1
486	1202	Gene1
286	1084	Gene1
788	925	Gene1
213	1146	Gene1
1018	2041	Gene1
186	1122	Gene1
1700	1638	Gene1
1013	1282	Gene4
1028	2039	Gene4
606	877	Gene4
115	1393	Gene4
204	1382	Gene4
913	2168	Gene4
131	1431	Gene4
409	1179	Gene4
635	940	Gene4
981	1382	Gene4
325	1162	Gene4
270	1079	Gene4
133	1324	Gene4
990	1446	Gene4
241	1135	Gene4
372	1201	Gene4
875	2223	Gene4
400	1169	Gene4
391	1185	Gene4
403	1177	Gene4
95	1450	Gene4
854	2240	Gene4
639	873	Gene4
636	878	Gene4
998	1455	Gene4
588	879	Gene4
1013	1411	Gene4
965	1450	Gene4
1071	1394	Gene4
114	1429	Gene4
1053	1436	Gene4
375	1172	Gene4
1022	1365	Gene4
1025	2071	Gene4
570	906	Gene4
538	914	Gene4
501	1234	Gene4
2063	242	Gene4
50	1395	Gene4
869	2197	Gene4
55	1362	Gene4
118	1473	Gene4
134	1341	Gene4
69	1336	Gene4
345	1189	Gene4
440	849	Gene4
450	1224	Gene4
383	913	Gene4
97	1526	Gene4
1204	1455	Gene4
515	892	Gene4
1981	180	Gene4
501	1234	Gene4
2025	210	Gene4
1890	235	Gene4
1013	2104	Gene4
688	796	Gene4
982	1262	Gene4
2304	210	Gene4
1753	174	Gene4
1395	1302	Gene4
575	909	Gene4
504	914	Gene4
416	910	Gene4
328	1119	Gene4
137	1447	Gene4
1861	179	Gene4
559	1234	Gene4
471	1111	Gene4
30	1295	Gene4
909	902	Gene4
760	1001	Gene4
89	1310	Gene4
611	1328	Gene4
2320	1292	Gene4
720	890	Gene4
101	1349	Gene4
474	1284	Gene4
887	1425	Gene4
252	1451	Gene4
2124	328	Gene4
892	1245	Gene4
518	1122	Gene4
182	1446	Gene4
374	1083	Gene4
964	1449	Gene4
79	1391	Gene4
1039	1261	Gene4
319	1120	Gene4
2210	355	Gene4
1024	2098	Gene4
1048	1301	Gene4
36	1438	Gene4
877	893	Gene4
2082	218	Gene4
543	1231	Gene4
20	1383	Gene4
740	923	Gene4
973	1414	Gene4
676	851	Gene4
73	1457	Gene4
576	919	Gene4
753	831	Gene4
978	1312	Gene4
2016	178	Gene4
118	1426	Gene4
310	1144	Gene4
856	2263	Gene4
951	1445	Gene4
705	890	Gene4
572	909	Gene4
596	889	Gene4
446	1190	Gene4
237	1488	Gene4
491	939	Gene4
772	993	Gene4
810	2268	Gene4
1033	2093	Gene4
932	1411	Gene4
513	939	Gene4
2005	231	Gene4
2004	180	Gene4
1972	147	Gene4
120	1401	Gene4
923	1414	Gene4
624	933	Gene4
186	1486	Gene4
998	1340	Gene4
60	1438	Gene4
2004	183	Gene4
269	1134	Gene4
354	1168	Gene4
1044	1352	Gene4
2005	207	Gene4
618	911	Gene4
920	2213	Gene4
2034	147	Gene4
1934	180	Gene4
281	1136	Gene4
986	1379	Gene4
605	907	Gene4
705	957	Gene4
105	1352	Gene4
1946	152	Gene4
2018	163	Gene4
999	1354	Gene4
699	889	Gene4
270	1173	Gene4
669	964	Gene4
1017	1406	Gene4
378	1158	Gene4
1037	1426	Gene4
306	1102	Gene4
1051	1410	Gene4
675	880	Gene4
305	1129	Gene4
114	1423	Gene4
958	2202	Gene4
303	1125	Gene4
985	1429	Gene4
323	1130	Gene4
691	881	Gene4
647	916	Gene4
116	1442	Gene4
310	1086	Gene4
892	2262	Gene4
1045	1390	Gene4
951	1486	Gene4
1024	2054	Gene4
21	1408	Gene4
2003	211	Gene4
976	2197	Gene4
897	906	Gene4
419	1168	Gene4
1042	1370	Gene4
2084	288	Gene4
60	1504	Gene4
140	1372	Gene4
802	823	Gene4
877	2270	Gene4
310	1175	Gene4
1019	2054	Gene4
566	931	Gene4
1013	1282	Gene4
1028	2039	Gene4
606	877	Gene4
115	1393	Gene4
204	1382	Gene4
913	2168	Gene4
131	1431	Gene4
409	1179	Gene4
635	940	Gene4
981	1382	Gene4
325	1162	Gene4
270	1079	Gene4
133	1324	Gene4
990	1446	Gene4
241	1135	Gene4
372	1201	Gene4
875	2223	Gene4
400	1169	Gene4
391	1185	Gene4
403	1177	Gene4
95	1450	Gene4
854	2240	Gene4
639	873	Gene4
636	878	Gene4
998	1455	Gene4
588	879	Gene4
1013	1411	Gene4
965	1450	Gene4
1071	1394	Gene4
114	1429	Gene4
1053	1436	Gene4
375	1172	Gene4
1022	1365	Gene4
1025	2071	Gene4
570	906	Gene4
538	914	Gene4
501	1234	Gene4
2063	242	Gene4
50	1395	Gene4
869	2197	Gene4
55	1362	Gene4
118	1473	Gene4
134	1341	Gene4
69	1336	Gene4
345	1189	Gene4
440	849	Gene4
450	1224	Gene4
383	913	Gene4
97	1526	Gene4
1204	1455	Gene4
515	892	Gene4
1981	180	Gene4
501	1234	Gene4
2025	210	Gene4
1890	235	Gene4
1013	2104	Gene4
688	796	Gene4
982	1262	Gene4
2304	210	Gene4
1753	174	Gene4
1395	1302	Gene4
575	909	Gene4
504	914	Gene4
416	910	Gene4
328	1119	Gene4
137	1447	Gene4
1861	179	Gene4
559	1234	Gene4
471	1111	Gene4
30	1295	Gene4
909	902	Gene4
760	1001	Gene4
89	1310	Gene4
611	1328	Gene4
2320	1292	Gene4
720	890	Gene4
101	1349	Gene4
474	1284	Gene4
887	1425	Gene4
252	1451	Gene4
2124	328	Gene4
892	1245	Gene4
518	1122	Gene4
182	1446	Gene4
374	1083	Gene4
964	1449	Gene4
79	1391	Gene4
1039	1261	Gene4
319	1120	Gene4
2210	355	Gene4
1024	2098	Gene4
1048	1301	Gene4
36	1438	Gene4
877	893	Gene4
2082	218	Gene4
543	1231	Gene4
20	1383	Gene4
740	923	Gene4
973	1414	Gene4
676	851	Gene4
73	1457	Gene4
576	919	Gene4
753	831	Gene4
978	1312	Gene4
2016	178	Gene4
118	1426	Gene4
310	1144	Gene4
856	2263	Gene4
951	1445	Gene4
705	890	Gene4
572	909	Gene4
596	889	Gene4
446	1190	Gene4
237	1488	Gene4
491	939	Gene4
772	993	Gene4
810	2268	Gene4
1033	2093	Gene4
932	1411	Gene4
513	939	Gene4
2005	231	Gene4
2004	180	Gene4
1972	147	Gene4
120	1401	Gene4
923	1414	Gene4
624	933	Gene4
186	1486	Gene4
998	1340	Gene4
60	1438	Gene4
2004	183	Gene4
269	1134	Gene4
354	1168	Gene4
1044	1352	Gene4
2005	207	Gene4
618	911	Gene4
920	2213	Gene4
2034	147	Gene4
1934	180	Gene4
281	1136	Gene4
986	1379	Gene4
605	907	Gene4
705	957	Gene4
105	1352	Gene4
1946	152	Gene4
2018	163	Gene4
999	1354	Gene4
699	889	Gene4
270	1173	Gene4
